"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Dec-2021","EQ","1,184.00","1,203.00","1,168.55","1,178.75","1,178.00","1,181.60","1,188.99","1,689.00","286.35",610309,"725,653,544.25",36981
"21-Dec-2021","EQ","1,134.00","1,204.00","1,131.25","1,121.25","1,177.45","1,178.75","1,171.97","1,689.00","286.35",766388,"898,180,488.00",32251
"20-Dec-2021","EQ","1,095.00","1,152.00","1,042.50","1,107.05","1,115.95","1,121.25","1,117.13","1,689.00","286.35",643755,"719,158,000.80",34316
"17-Dec-2021","EQ","1,175.00","1,177.35","1,095.00","1,174.80","1,109.00","1,107.05","1,131.84","1,689.00","286.35",371742,"420,752,100.75",21880
"16-Dec-2021","EQ","1,175.00","1,182.25","1,155.55","1,165.10","1,179.95","1,174.80","1,171.27","1,689.00","286.35",237119,"277,731,546.05",17424
"15-Dec-2021","EQ","1,164.95","1,184.00","1,152.00","1,166.95","1,167.10","1,165.10","1,171.07","1,689.00","286.35",267879,"313,703,841.75",15672
"14-Dec-2021","EQ","1,119.00","1,202.00","1,115.65","1,127.80","1,163.70","1,166.95","1,167.40","1,689.00","286.35",643953,"751,751,537.75",28563
"13-Dec-2021","EQ","1,136.00","1,179.00","1,117.95","1,126.90","1,126.10","1,127.80","1,145.02","1,689.00","286.35",434248,"497,222,127.50",21923
"10-Dec-2021","EQ","1,130.00","1,140.00","1,125.00","1,130.70","1,127.00","1,126.90","1,130.44","1,689.00","286.35",121471,"137,315,241.10",7287
"09-Dec-2021","EQ","1,135.00","1,149.00","1,125.00","1,122.55","1,129.00","1,130.70","1,132.86","1,689.00","286.35",224874,"254,750,867.70",11089
"08-Dec-2021","EQ","1,120.80","1,159.90","1,115.00","1,110.00","1,120.00","1,122.55","1,133.50","1,689.00","286.35",419244,"475,212,110.40",19881
"07-Dec-2021","EQ","1,124.00","1,131.40","1,097.00","1,109.05","1,108.90","1,110.00","1,112.03","1,689.00","286.35",262359,"291,750,795.30",16778
"06-Dec-2021","EQ","1,150.00","1,150.50","1,088.00","1,139.05","1,112.00","1,109.05","1,129.16","1,689.00","286.35",306769,"346,390,367.85",15705
"03-Dec-2021","EQ","1,135.00","1,176.55","1,123.00","1,123.65","1,142.00","1,139.05","1,148.59","1,689.00","286.35",739964,"849,918,635.40",32643
"02-Dec-2021","EQ","1,049.00","1,139.00","1,038.00","1,032.55","1,125.05","1,123.65","1,103.17","1,689.00","286.35",1127876,"1,244,235,737.25",49881
"01-Dec-2021","EQ","1,022.95","1,050.00","1,010.00","1,014.25","1,040.00","1,032.55","1,024.80","1,689.00","286.35",315763,"323,594,648.45",20273
"30-Nov-2021","EQ","1,063.00","1,088.00","990.50","1,036.65","1,006.00","1,014.25","1,040.45","1,689.00","286.35",1094370,"1,138,639,292.10",46420
